,id,user_id,content,ding,cai,create_time,update_time
0,5419,11175,1,0,0,2022-04-21 15:10:14,2022-04-21 15:10:14
1,5418,11175,OK2,0,0,2022-04-21 15:01:32,2022-04-21 15:01:32
2,5417,11175,OK,0,0,2022-04-21 15:00:10,2022-04-21 15:00:10
3,5416,8565,前脸这大嘴巴一言难尽。,0,0,2022-04-08 16:27:36,2022-04-08 16:27:36
4,5414,11143,可能是文章撰写的问题？感觉测试的很片面。拿语音举例，着重测试语音识别能力，识别后的交互提都没提；手机车机连接也是，说支持华为Hicar如何如何好，不一定车主都有华为系手机啊，文章内也没提相关信息和数据，明显以偏概全。通篇都在说吉利博越好，倒不是说不好，具体我也不了解，但是真个文章看下来就很不严谨。,0,0,2022-04-07 09:18:53,2022-04-07 09:18:53
5,5415,11143,可能是文章撰写的问题？感觉测试的很片面。拿语音举例，着重测试语音识别能力，识别后的交互提都没提；手机车机连接也是，说支持华为Hicar如何如何好，不一定车主都有华为系手机啊，文章内也没提相关信息和数据，明显以偏概全。通篇都在说吉利博越好，倒不是说不好，具体我也不了解，但是真个文章看下来就很不严谨。,0,0,2022-04-07 09:18:53,2022-04-07 09:18:53
6,5413,9284,这导航显示视野，绝了……,0,0,2022-03-29 17:08:04,2022-03-29 17:08:04
7,5412,9883,新一代的蒙迪欧，如果不仔细看的话还以为这是一款电车，大长屏、SYNC+ 2.0智行互联系统、车路协同系统等不要太丰富。,0,0,2022-03-29 17:08:00,2022-03-29 17:08:00
8,5410,9277,前段时间长城好猫芯片问题闹得挺大的，蒙迪欧用的高通820，给个好评,0,0,2022-03-29 17:06:04,2022-03-29 17:06:04
9,5409,9648,一眼就看上了这个大屏，4K高清，看视频听音乐都很好，而且还支持分屏，科技感拉满,0,0,2022-03-29 17:03:09,2022-03-29 17:03:09
10,5411,9880,记得以前手机屏幕过了5寸就是巨屏了，如今哪家不是快7寸了，车机屏幕一样，越大用着越爽。,0,0,2022-03-29 17:07:14,2022-03-29 17:07:14
11,5402,11151,理想在打造家庭用车方面，确实非常用心。,0,0,2022-03-15 11:39:12,2022-03-15 11:39:12
12,5385,11141,蹲一个美少女战士版,0,0,2022-01-27 13:27:29,2022-01-27 13:27:29
13,5384,11136,智能座驾太夸张了吧，感觉像机器人似的，科技进步的也忒快了,0,0,2022-01-22 11:06:30,2022-01-22 11:06:30
14,5383,11136,智能座驾太夸张了吧，感觉像机器人似的，科技进步的也忒快了,0,0,2022-01-22 11:06:27,2022-01-22 11:06:27
15,5382,10550,吉利车标的沃尔沃？,0,0,2022-01-11 16:45:03,2022-01-11 16:45:03
16,5380,11128,http://ddy98.net/ 支持,0,0,2021-12-12 14:00:18,2021-12-12 14:00:18
17,5379,11128,http://ddy98.net/ 支持,0,0,2021-12-12 14:00:04,2021-12-12 14:00:04
18,5381,10541,真样衰,0,0,2021-12-21 10:09:17,2021-12-21 10:09:17
19,5378,7965,飞行器特征太明显了，这款车想受到大家喜欢并不难,0,0,2021-11-26 14:40:06,2021-11-26 14:40:06
20,5377,8137,感觉夜晚的无界X有一种神秘感,0,0,2021-11-26 14:39:49,2021-11-26 14:39:49
21,5376,8017,买车的话游戏手柄是会带着吗？好喜欢这个车啊,0,0,2021-11-26 14:39:22,2021-11-26 14:39:22
22,5375,7970,这车得多少钱呢？不知道手里的票子够不够,0,0,2021-11-26 14:31:29,2021-11-26 14:31:29
23,5374,8022,整体的设计风格来看太惊艳了,0,0,2021-11-26 14:31:23,2021-11-26 14:31:23
24,5373,8040,飞行器特征太明显了，这款车想受到大家喜欢并不难,0,0,2021-11-26 14:30:19,2021-11-26 14:30:19
25,5372,7964,买车的话游戏手柄是会带着吗？好喜欢这个车啊,0,0,2021-11-26 14:29:06,2021-11-26 14:29:06
26,5371,7991,这车得多少钱呢？不知道手里的票子够不够,0,0,2021-11-26 11:31:29,2021-11-26 11:31:29
27,5370,8021,整体的设计风格来看太惊艳了,0,0,2021-11-26 11:31:20,2021-11-26 11:31:20
28,5369,8039,飞行器特征太明显了，这款车想受到大家喜欢并不难,0,0,2021-11-26 11:30:07,2021-11-26 11:30:07
29,5368,7990,感觉夜晚的无界X有一种神秘感,0,0,2021-11-26 11:29:46,2021-11-26 11:29:46
30,5367,8038,买车的话游戏手柄是会带着吗？好喜欢这个车啊,0,0,2021-11-26 11:28:44,2021-11-26 11:28:44
31,5366,7963,买车的话游戏手柄是会带着吗？好喜欢这个车啊,0,0,2021-11-26 11:08:15,2021-11-26 11:08:15
32,5365,8015,整体的设计风格来看太惊艳了,0,0,2021-11-26 10:26:21,2021-11-26 10:26:21
33,5364,8014,这车得多少钱呢？不知道手里的票子够不够,0,0,2021-11-26 10:25:29,2021-11-26 10:25:29
34,5363,8037,飞行器特征太明显了，这款车想受到大家喜欢并不难,0,0,2021-11-26 10:24:23,2021-11-26 10:24:23
35,5362,8004,感觉夜晚的无界X有一种神秘感,0,0,2021-11-26 10:23:29,2021-11-26 10:23:29
36,5361,7963,买车的话游戏手柄是会带着吗？好喜欢这个车啊,0,0,2021-11-26 10:22:00,2021-11-26 10:22:00
37,5359,9277,能够满足我的用车需求，先看看车再说,0,0,2021-09-27 17:06:32,2021-09-27 17:06:32
38,5358,9880,还别说EVOS的配置还是很给力的,0,0,2021-09-27 17:00:46,2021-09-27 17:00:46
39,5356,11102,我目前就是开得荣威电车，没感觉到有锁电的情况啊,0,0,2021-09-27 15:28:44,2021-09-27 15:28:44
40,5357,10541,丑得无与伦比,0,0,2021-09-27 16:26:50,2021-09-27 16:26:50
41,5347,11088,安全第一，续航第二，才有利于产业的稳固发展。,0,0,2021-08-25 10:07:46,2021-08-25 10:07:46
42,5346,11088,发展电动新能源汽车要秉承科学、安全、可持续发展的理念，安全第一，续航第二，才有利于产业的稳固发展。,0,0,2021-08-25 10:07:36,2021-08-25 10:07:36
43,5345,11088,发展电动新能源汽车要秉承科学、安全、可持续发展的理念，安全第一，续航第二，才有利于产业的稳固发展。,0,0,2021-08-25 10:06:11,2021-08-25 10:06:11
44,5344,11088,文章写得很好！如果2021年起火统计能补充动力电池类别，对厂家和消费者有更多的参考价值。发展电动新能源汽车要秉承科学、安全、可持续发展的理念，安全第一，续航第二，才有利于产业的稳固发展。,0,0,2021-08-25 10:04:59,2021-08-25 10:04:59
45,5343,11088,文章写得很好！如果2021年起火统计能补充动力电池类别，对厂家和消费者有更多的参考价值。发展电动新能源汽车要秉承科学、安全、可持续发展的理念，安全第一，续航第二，才有利于产业的稳固发展。认为“三元锂”电池是代表先进技术是完全错误的，未来也会有钠离子电池、锑电池的应用。过度强调电池能量密度，忽视电池的稳定性和安全性，必将造成电动车的安全隐患，无异于谋财害命。对于动力电池的选择应该是在安全的条件下，百花齐放，不管“白猫黑猫，抓到老鼠，就是好猫”，鼓励新技术新创新和新工艺的发展与应用，任何忽视安全的急躁冒进，将会导致电动新能源汽车的发展受阻碍！,0,0,2021-08-25 10:04:40,2021-08-25 10:04:40
46,5342,11088,文章写得很好！如果2021年起火统计能补充动力电池类别，对厂家和消费者有更多的参考价值。发展电动新能源汽车要秉承科学、安全、可持续发展的理念，安全第一，续航第二，才有利于产业的稳固发展。ZG乘联会某领导认为“三元锂”电池是代表先进技术是完全错误的，未来也会有钠离子电池、锑电池的应用。过度强调电池能量密度，忽视电池的稳定性和安全性，必将造成电动车的安全隐患，无异于谋财害命。对于动力电池的选择应该是在安全的条件下，百花齐放，不管“白猫黑猫，抓到老鼠，就是好猫”，鼓励新技术新创新和新工艺的发展与应用，任何忽视安全的急躁冒进，将会导致电动新能源汽车的发展受阻碍！,0,0,2021-08-25 10:03:58,2021-08-25 10:03:58
47,5341,11088,文章写得很好！如果2021年起火统计能补充动力电池类别，对厂家和消费者有更多的参考价值。发展电动新能源汽车要秉承科学、安全、可持续发展的理念，安全第一，续航第二，才有利于产业的稳固发展。ZG乘联会某领导认为“三元锂”电池是代表先进技术是完全错误的，未来也会有钠离子电池、锑电池的应用。过度强调电池能量密度，忽视电池的稳定性和安全性，必将造成电动车的安全隐患，无异于谋财害命。对于动力电池的选择应该是在安全的条件下，百花齐放，不管“白猫黑猫，抓到老鼠，就是好猫”，鼓励新技术新创新和新工艺的发展与应用，任何忽视安全的急躁冒进，将会导致电动新能源汽车的发展受阻碍！,0,0,2021-08-25 10:03:21,2021-08-25 10:03:21
48,5340,11088,文章写得很好！如果2021年起火统计能补充动力电池类别，对厂家和消费者有更多的参考价值。发展电动新能源汽车要秉承科学、安全、可持续发展的理念，安全第一，续航第二，才有利于产业的稳固发展。中国乘联会某领导认为“三元锂”电池是代表先进技术是完全错误的，未来也会有钠离子电池、锑电池的应用。过度强调电池能量密度，忽视电池的稳定性和安全性，必将造成电动车的安全隐患，无异于谋财害命。对于动力电池的选择应该是在安全的条件下，百花齐放，不管“白猫黑猫，抓到老鼠，就是好猫”，鼓励新技术新创新和新工艺的发展与应用，任何忽视安全的急躁冒进，将会导致电动新能源汽车的发展受阻碍！,0,0,2021-08-25 10:02:58,2021-08-25 10:02:58
49,5339,11088,文章写得很好！如果2021年起火统计能补充动力电池类别，对厂家和消费者有更多的参考价值。发展电动新能源汽车要秉承科学、安全、可持续发展的理念，安全第一，续航第二，才有利于产业的稳固发展。中国乘联会秘书长崔东树认为“三元锂”电池是代表先进技术是完全错误的，未来也会有钠离子电池、锑电池的应用。过度强调电池能量密度，忽视电池的稳定性和安全性，必将造成电动车的安全隐患，无异于谋财害命。对于动力电池的选择应该是在安全的条件下，百花齐放，不管“白猫黑猫，抓到老鼠，就是好猫”，鼓励新技术新创新和新工艺的发展与应用，任何忽视安全的急躁冒进，将会导致电动新能源汽车的发展受阻碍！,0,0,2021-08-25 10:02:13,2021-08-25 10:02:13
50,5337,10520,电动车怕冷，俄罗斯这天气，恐怕够呛<br/>出口是好事，但别坏了口碑,0,0,2021-08-23 14:37:20,2021-08-23 14:37:20
51,5336,10520,电动车怕冷，俄罗斯这天气，恐怕够呛<br/>出口是好事，但别坏了口碑,0,0,2021-08-23 14:19:42,2021-08-23 14:19:42
52,5335,10520,电动车怕冷，俄罗斯这天气，恐怕够呛<br/>出口是好事，但别坏了口碑,0,0,2021-08-23 14:19:29,2021-08-23 14:19:29
53,5348,11088,磷酸铁锂电池安全性更高。,0,0,2021-08-25 17:36:55,2021-08-25 17:36:55
54,5334,11085,这话说的，你监测不到方向盘 不会靠边停车吗？ 非要撞上去？,0,0,2021-08-20 16:48:57,2021-08-20 16:48:57
55,5333,11085,还是先挽救蔚来车主的生命吧。,0,0,2021-08-20 16:46:43,2021-08-20 16:46:43
56,5332,11085,还是先挽救蔚来车主的生命吧。,0,0,2021-08-20 16:46:37,2021-08-20 16:46:37
57,5338,11064,喜欢,0,0,2021-08-25 09:26:59,2021-08-25 09:26:59
58,5331,11075,雪佛兰的畅巡在续航能力上确实非常出众，再结合非常高的性价比值得入手一台。,0,0,2021-07-30 16:06:06,2021-07-30 16:06:06
59,5330,11078,雪佛兰畅饮这款车，去年一经上市，我就爱上了这款车了，外观和内饰都超级给力，关键性价比还超级高，还是合资车，品质有保证，马上准备入手了。,0,0,2021-07-30 13:12:34,2021-07-30 13:12:34
60,5329,11078,雪佛兰畅饮这款车，去年一经上市，我就爱上了这款车了，外观和内饰都超级给力，关键性价比还超级高，还是合资车，品质有保证，马上准备入手了。,0,0,2021-07-30 13:12:29,2021-07-30 13:12:29
61,5328,11078,雪佛兰畅饮这款车，去年一经上市，我就爱上了这款车了，外观和内饰都超级给力，关键性价比还超级高，还是合资车，品质有保证，马上准备入手了。,0,0,2021-07-30 13:11:44,2021-07-30 13:11:44
62,5326,11078,畅饮这款车从去年上市我就开始关注了，外观像跨界车，内饰设计得很大气，跑起来胎噪也非常小，关键性价比非常高，真的很赞呀！,0,0,2021-07-30 13:03:41,2021-07-30 13:03:41
63,5325,11077,新能源汽车一定是全球大趋势，作为一辆15万元左右的新能源车，雪佛兰畅巡是个不错的选择，毕竟是比较成熟的合资品牌，而且外观时尚动感，内在智能科技，非常不错。,0,0,2021-07-30 12:46:08,2021-07-30 12:46:08
64,5324,11077,新能源汽车一定是全球大趋势，作为一辆15万元左右的新能源车，雪佛兰畅巡是个不错的选择，毕竟是比较成熟的合资品牌，而且外观时尚动感，内在智能科技，非常不错。,0,0,2021-07-30 12:44:28,2021-07-30 12:44:28
65,5323,11077,新能源汽车一定是全球大趋势，作为一辆15万元左右的新能源车，雪佛兰畅巡是个不错的选择，毕竟是比较成熟的合资品牌，而且外观时尚动感，内在智能科技，非常不错。,0,0,2021-07-30 12:42:29,2021-07-30 12:42:29
66,5322,11077,新能源汽车一定是全球大趋势，作为一辆15万元左右的新能源车，雪佛兰畅巡是个不错的选择，毕竟是比较成熟的合资品牌，而且外观时尚动感，内在智能科技，非常不错。,0,0,2021-07-30 12:42:01,2021-07-30 12:42:01
67,5321,11077,新能源汽车一定是全球大趋势，作为一辆15万元左右的新能源车，雪佛兰畅巡是个不错的选择，毕竟是比较成熟的合资品牌，而且外观时尚动感，内在智能科技，非常不错。,0,0,2021-07-30 12:41:47,2021-07-30 12:41:47
68,5320,11076,雪佛兰畅巡作为雪佛兰家族中的第一台新能源车型，价格定在了15万左右，这个价格在加上畅巡的外观与内饰配置。再加上410km的续航里程。这个价格可以说是很值得购入的合资车型。,0,0,2021-07-30 12:41:03,2021-07-30 12:41:03
69,5319,11076,雪佛兰畅巡作为雪佛兰家族中的第一台新能源车型，价格定在了15万左右，这个价格在加上畅巡的外观与内饰配置。再加上410km的续航里程。这个价格可以说是很值得购入的合资车型。,0,0,2021-07-30 12:39:55,2021-07-30 12:39:55
70,5318,11075,雪佛兰的畅巡在续航能力上确实非常出众，再结合非常高的性价比值得入手一台。,0,0,2021-07-30 12:05:00,2021-07-30 12:05:00
71,5317,11075,雪佛兰的畅巡在续航能力上确实非常出众，再结合非常高的性价比值得入手一台。,0,0,2021-07-30 12:04:05,2021-07-30 12:04:05
72,5316,11075,雪佛兰的畅巡在续航能力上确实非常出众，再结合非常高的性价比值得入手一台。,0,0,2021-07-30 12:03:56,2021-07-30 12:03:56
73,5327,11078,雪佛兰畅饮这款车，去年一经上市，我就爱上了这款车了，外观和内饰都超级给力，关键性价比还超级高，还是合资车，品质有保证，马上准备入手了。,0,0,2021-07-30 13:10:05,2021-07-30 13:10:05
74,5315,10541,“Md3三年使用保质量90%”，造谣还是你行,0,0,2021-07-27 10:11:45,2021-07-27 10:11:45
75,5306,8101,不错！,0,0,2021-07-21 23:43:06,2021-07-21 23:43:06
76,5305,8133,车内饰挺不错的，8.98-13.18万价格实惠,0,0,2021-07-21 22:42:03,2021-07-21 22:42:03
77,5304,7989,传祺的车子品质一直都很好，新款GS4更是优秀,0,0,2021-07-21 22:38:13,2021-07-21 22:38:13
78,5303,7988,对于国产车来说它中规中矩，还是好接受的，价格也还行,0,0,2021-07-21 22:35:49,2021-07-21 22:35:49
79,5302,8106,车是什么样的风格主人就是什么样的性格，这车适合小青年，价格也适合,0,0,2021-07-21 22:34:19,2021-07-21 22:34:19
80,5301,8048,这车的蓝色的你们去看看，很好看，看价格也还行,0,0,2021-07-21 22:31:00,2021-07-21 22:31:00
81,5300,7960,对于国产车来说它中规中矩，还是好接受的，价格也还行,0,0,2021-07-21 22:25:58,2021-07-21 22:25:58
82,5299,8101,价格也还行,0,0,2021-07-21 21:54:26,2021-07-21 21:54:26
83,5298,8101,对于国产车来说它中规中矩，还是好接受的，价格也还行,0,0,2021-07-21 21:54:19,2021-07-21 21:54:19
84,5297,8101,对于国产车来说它中规中矩，还是好接受的，价格也还行,0,0,2021-07-21 21:54:04,2021-07-21 21:54:04
85,5296,8047,对于国产车来说它中规中矩，还是好接受的，价格也还行,0,0,2021-07-21 21:51:44,2021-07-21 21:51:44
86,5295,8112,车内饰挺不错的，8.98-13.18万价格实惠,0,0,2021-07-21 21:46:32,2021-07-21 21:46:32
87,5294,7980,对于国产车来说它中规中矩，还是好接受的，价格也还行,0,0,2021-07-21 21:41:54,2021-07-21 21:41:54
88,5293,7987,车是什么样的风格主人就是什么样的性格，这车适合小青年，价格也适合,0,0,2021-07-21 21:38:23,2021-07-21 21:38:23
89,5292,8059,对于国产车来说它中规中矩，还是好接受的，价格也还行,0,0,2021-07-21 21:30:54,2021-07-21 21:30:54
90,5291,8057,车是什么样的风格主人就是什么样的性格，这车适合小青年，价格也适合,0,0,2021-07-21 18:22:56,2021-07-21 18:22:56
91,5290,7959,对于国产车来说它中规中矩，还是好接受的，价格也还行,0,0,2021-07-21 18:22:40,2021-07-21 18:22:40
92,5289,8073,车内饰挺不错的，8.98-13.18万价格实惠,0,0,2021-07-21 18:20:46,2021-07-21 18:20:46
93,5288,7958,车是什么样的风格主人就是什么样的性格，这车适合小青年，价格也适合,0,0,2021-07-21 18:12:36,2021-07-21 18:12:36
94,5287,8072,对于国产车来说它中规中矩，还是好接受的，价格也还行,0,0,2021-07-21 18:12:15,2021-07-21 18:12:15
95,5286,7956,对于国产车来说它中规中矩，还是好接受的，价格也还行,0,0,2021-07-21 18:02:35,2021-07-21 18:02:35
96,5270,11061,还行吧看起来,0,0,2021-07-07 14:35:29,2021-07-07 14:35:29
97,5268,11061,还行吧看起来,0,0,2021-07-07 14:35:28,2021-07-07 14:35:28
98,5269,11061,还行吧看起来,0,0,2021-07-07 14:35:28,2021-07-07 14:35:28
99,5267,11061,还行吧看起来,0,0,2021-07-07 14:35:25,2021-07-07 14:35:25
100,5266,11061,不错,0,0,2021-07-07 14:35:13,2021-07-07 14:35:13
101,5265,11060,写得很有启发性,0,0,2021-07-06 15:48:29,2021-07-06 15:48:29
102,5264,11060,写得很有启发性 可以看出作者对苹果和汽车的深刻理解,0,0,2021-07-06 15:48:17,2021-07-06 15:48:17
103,5263,11060,写得很有启发性！可以看出作者对苹果和汽车的深刻理解,0,0,2021-07-06 15:48:14,2021-07-06 15:48:14
104,5262,11060,写得很有启发性～可以看出作者对苹果和汽车的深刻理解,0,0,2021-07-06 15:48:08,2021-07-06 15:48:08
105,5275,11064,为啥上险数17万 销售量17万八,0,0,2021-07-12 14:37:26,2021-07-12 14:37:26
